track_id,track_title,sc_url,ep_title,ep_url,play_count,like_count,engagement_rate,sutra,lyrics_title,lyrics_id,playlist_count,in_airtable_import_set,playlist_name,playlist_url
2022663604,[4] Serial BLOWERS (what the twat?) • psyRAGGA DUBsutra,https://soundcloud.com/bananasutra/4-serial-blowers-what-the-twat,Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,192,2,1.041667,,Serial BLOWERS (what the twat?),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2077764116,[4] Shush the Bull Bro (Please) • DUBsutra,https://soundcloud.com/bananasutra/4-shush-the-bull-bro-please-dubsutra-4,How to Help a Bible Bro Grow Up · In the name of Religious Freedom,https://soundcloud.com/bananasutra/sets/how-to-help-a-bible-bro-grow-up-in-the-name-of-religious-freedom,336,3,0.892857,GROWsutra,Shush (How To Help A Bible Bro Grow Up),L-222,7,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2075938516,[4] Stymy Stymy Yuck • Mama F-BOMB DUB,https://soundcloud.com/bananasutra/4-stymy-stymy-yuck-o-mama-f,Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,https://soundcloud.com/bananasutra/sets/stymy-stymy-yuck-a-story-of-old-bastards-epx5-vol1-dubsutra,203,2,0.985222,QUACKsutra,Stymy Stymy Yuck,L-234,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681256,[5] Dubbin' for Freedom • DUBsutra,https://soundcloud.com/bananasutra/5-dubbin-for-freedom-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,550,4,0.727273,KNOWsutra,Question Di Kingdom,L-199,3,yes,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2045146252,[5] Project 2025 Vol. 2  ☠ Why You Lie (to the People's face) ☠ Ragga DUBsutra,https://soundcloud.com/bananasutra/5-project-2025-vol-2-why-you,Why You Lie (to the People's Face) EP x7 ☠ QUACKsutra,https://soundcloud.com/bananasutra/sets/why-you-lie-to-the-peoples-face-quacksutra,170,2,1.176471,QUACKsutra,Project 2025 Vol. 2  ☠ Why You Lie (to the People's face) ☠ Ragga DUBsutra,,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2022663620,[5] Serial Twatters (what the twat?) • RAGGA DUB,https://soundcloud.com/bananasutra/5-serial-twatters-what-the,Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,211,2,0.947867,,Serial Twatters (what the twat?),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2077764108,[5] Shush your Mouth (Please) • DUBsutra,https://soundcloud.com/bananasutra/5-shush-your-mouth-please-dubsutra-5,How to Help a Bible Bro Grow Up · In the name of Religious Freedom,https://soundcloud.com/bananasutra/sets/how-to-help-a-bible-bro-grow-up-in-the-name-of-religious-freedom,205,3,1.463415,,Shush your Mouth (Please),,4,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2022663596,[6] Serial TWATors (BLOWerrrs) • RAGGA DUBsutra,https://soundcloud.com/bananasutra/6-serial-twators-blowerrrs-o,Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,212,1,0.471698,,Serial TWATors (BLOWerrrs),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2044681280,[6] Step into Russel's rhythm (1) • DUBsutra,https://soundcloud.com/bananasutra/6-step-into-russels-rhythm-1-o,Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,168,0,0.000000,,Step into Russel's rhythm (1),,3,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
2074302296,[6] Who Needs a Big D - dubmuse Reggae DUB,https://soundcloud.com/bananasutra/6-who-needs-a-big-d-dubmuse-reggae-dub-6,Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,https://soundcloud.com/bananasutra/sets/who-needs-a-big-d-ep-x8-vol-1-jazz-n-dub,195,2,1.025641,,Who Needs a Big D - dubmuse Reggae DUB,,2,no,DUBsutra,https://soundcloud.com/bananasutra/sets/dubsutra
