Title,Duration,YouTube URL,Author,Video ID
"Kindness, Oh Sweet Kindness 🌈🌥️ GROWsutra Kind(ness) Prayer for Brave and True Hearts (Only)",3:15,https://www.youtube.com/watch?v=-NHkXyWo4M0&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=58&pp=iAQBsAgC,bananasutra 🎶,V-058
Gladys in Sonderland 🍄🐇 SHOWsutra Psychedelic Wonder Chanson Cabaret,4:52,https://www.youtube.com/watch?v=9VNdckxHW8M&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=59&pp=iAQBsAgC,bananasutra 🎶,V-059
Make Amurica Gulag Again 🇺🇸 QUACKsutra Conscious Psychedelic Politics Storytelling Indie LOFI Music,2:41,https://www.youtube.com/watch?v=KuIuA8dz1Aw&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=60&pp=iAQBsAgC,bananasutra 🎶,V-060
The Courage to Care 🎭📺 GROWsutra Conscious Compassion Indie Trip Hope Fusion LOFI 🎶,4:05,https://www.youtube.com/watch?v=Jo_F8vIGGxQ&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=61&pp=iAQB0gcJCdkKAYcqIYzvsAgC,bananasutra 🎶,V-061
Penguins in Shoes 🐧💨 SHOWsutra dystopian gipsy trip-hop jazz fusion music,3:01,https://www.youtube.com/watch?v=RKguUsi33sU&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=62&pp=iAQBsAgC,bananasutra 🎶,V-062
They Call It Freedom ✊🕊️ BLOWsutra (Revolt Now) Music Therapy For The People,2:58,https://www.youtube.com/watch?v=TWCfjqln71A&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=63&pp=iAQBsAgC,bananasutra 🎶,V-063
Peel Me Kindly 🍌💦 A SHOWsutra (True) Gipsy Jazz Love Story Gone Silly ‘n Sweet Bananas 🎶,4:42,https://www.youtube.com/watch?v=fxVNlV2gkVk&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=64&pp=iAQBsAgC,bananasutra 🎶,V-064
Synthema Sutra ♆ SHOWsutra Psychedelic Banana Gipsy LoFi (Goddess Goes to Switzerland :) 🎧❄️,4:30,https://www.youtube.com/watch?v=57emK4lmWzw&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=65&pp=iAQBsAgC,bananasutra 🎶,V-065
Read Me Harder (BB is for Banned Books) 📚‼️ BLOWsutra Censor(Ed) Facts American Folk Music,2:44,https://www.youtube.com/watch?v=n-RaR7GCoIU&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=66&pp=iAQBsAgC,bananasutra 🎶,V-066
What It’s About 🌟 BLOWsutra (Revolt Now) Piano Jazz Edition 🎹 (Meow),4:01,https://www.youtube.com/watch?v=qT4lNvSrfAc&list=PLmBA9ODM1xHNkz4xGSkiyAC--PDWFlTP_&index=67&pp=iAQB0gcJCdkKAYcqIYzvsAgC,bananasutra 🎶,V-067
