playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,artwork_lg_url,sc_playlist_type,scplaylist_in_app,songbook_id
GROWsutra : GOD (etc),https://soundcloud.com/bananasutra/sets/growsutra-god-etc,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",30,25569,295,1:35:12,https://i1.sndcdn.com/artworks-GR9JyL5n8yqk0dDg-rUqw1g-t500x500.jpg,https://i1.sndcdn.com/artworks-GR9JyL5n8yqk0dDg-rUqw1g-t1080x1080.jpg,sutra,checked,G-04-GOD
GROWsutra : KIND(ness),https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,GROWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",17,13542,113,0:55:24,https://i1.sndcdn.com/artworks-b1Fx0OuFqdHgE7WF-fVAj1Q-t500x500.jpg,https://i1.sndcdn.com/artworks-b1Fx0OuFqdHgE7WF-fVAj1Q-t1080x1080.jpg,sutra,checked,G-04-KIND
GROWsutra where we be brave,https://soundcloud.com/bananasutra/sets/sutragrow,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",332,200055,1941,18:01:33,https://i1.sndcdn.com/artworks-mzuSCb7CNKrMH5sq-5CuPrQ-t500x500.jpg,https://i1.sndcdn.com/artworks-mzuSCb7CNKrMH5sq-5CuPrQ-t1080x1080.jpg,sutra (all),,
HIDDEN PEELS,https://soundcloud.com/bananasutra/sets/hidden-peels,,,83,27863,488,4:31:51,https://i1.sndcdn.com/artworks-q37xEnqpYSi9JjNM-xhFyxw-t500x500.jpg,https://i1.sndcdn.com/artworks-q37xEnqpYSi9JjNM-xhFyxw-t1080x1080.jpg,collection,checked,G-gems
INDIEsutra,https://soundcloud.com/bananasutra/sets/indiesutra-2,,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",259,122933,1170,14:59:44,https://i1.sndcdn.com/artworks-C7s0a12XcankxZ5m-N8ITrg-t500x500.jpg,https://i1.sndcdn.com/artworks-C7s0a12XcankxZ5m-N8ITrg-t1080x1080.jpg,genre (all),,
INDIEsutra (Best Of),https://soundcloud.com/bananasutra/sets/indiesutra-best-of,,INDIE,69,99089,936,4:13:22,https://i1.sndcdn.com/artworks-o2drYEuUiIonduAx-8tLPrg-t500x500.jpg,https://i1.sndcdn.com/artworks-o2drYEuUiIonduAx-8tLPrg-t1080x1080.jpg,genre (best of),checked,G-00-INDI
JAZZsutra,https://soundcloud.com/bananasutra/sets/jazzsutra,,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",226,139697,1506,12:48:39,https://i1.sndcdn.com/artworks-DEjozORVmF41Cqui-3hQl1g-t500x500.jpg,https://i1.sndcdn.com/artworks-DEjozORVmF41Cqui-3hQl1g-t1080x1080.jpg,genre (all),,
JAZZsutra (Best Of),https://soundcloud.com/bananasutra/sets/jazzsutra-best-of,,JAZZ,77,106906,1192,4:14:44,https://i1.sndcdn.com/artworks-cAdyXVEMk1Mz51KL-IBblxw-t500x500.jpg,https://i1.sndcdn.com/artworks-cAdyXVEMk1Mz51KL-IBblxw-t1080x1080.jpg,genre (best of),checked,G-00-JAZZ
KNOWsutra : (naked) TRUTH,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI",27,26534,450,1:34:52,https://i1.sndcdn.com/artworks-f66ByNzPT9uoPEaI-NO5RcQ-t500x500.jpg,https://i1.sndcdn.com/artworks-f66ByNzPT9uoPEaI-NO5RcQ-t1080x1080.jpg,sutra,checked,G-01-TRUT
KNOWsutra : BERTRAND (mon chéri),https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",16,24054,317,0:55:14,https://i1.sndcdn.com/artworks-oJ9Fh72QQzfgiRgF-mSFydg-t500x500.jpg,https://i1.sndcdn.com/artworks-oJ9Fh72QQzfgiRgF-mSFydg-t1080x1080.jpg,sutra,checked,G-01-BERT
